lipid_id	lipid_name	pmol_d00_2	pmol_d00_3	pmol_d00_4	pmol_d00_5	pmol_d03_1	pmol_d03_2	pmol_d03_3	pmol_d03_5	pmol_d07_1	pmol_d07_3	pmol_d07_4	pmol_d07_5	pmol_d14_1	pmol_d14_2	pmol_d14_3	pmol_d14_4	pmol_d14_5
DAG 18:0;0_20:4;0	Diacylglycerol (18:0_20:4)	20.5332288168833	11.8976413552114	13.5853081079596	15.496856339533	13.4905492706411	27.6894107067268	16.7153388832594	19.27547457009	11.8259394991115	19.8969880718275	15.8717278838616	13.9508816701373	8.73101591259664	26.4390945619196	18.9670238720113	11.3806308455686	13.0184631662135
DAG 18:1;0_20:3;0	Diacylglycerol (18:1_20:3)	0.224711823637077	0.146051232905491	0.156590032920143	0.215981909146649	0.189743132793447	0.262850561230341		0.261458909621081	0.150085561782601	0.227487656656138	0.160749326929176			0.201701082288073	0.227893773938967	0.135122674679825	0.126261122861518
DAG 16:0;0_22:5;0	Diacylglycerol (16:0_22:5)				0.104505918107572				0.128828699133012		0.145459912309632				0.127429621657819			
DAG 18:1;0_20:4;0	Diacylglycerol (18:1_20:4)	1.63297567132453	1.34939705776604	1.27586564563455	1.5407750559031		2.24301246401336	1.07893150377304	1.27039134160271		1.55861859156841				1.77743505349189	1.71253910326953		
DAG 16:0;0_22:6;0	Diacylglycerol (16:0_22:6)				1.1655164798755			1.30803467418784	1.13856142887789						1.38606602807379	1.52580238217403		
DAG 16:0;0_24:1;0	Diacylglycerol (16:0_24:1)						0.099307545953721	0.133954175883524							0.098497550231225			
DAG 16:1;0_24:0;0	Diacylglycerol (16:1_24:0)		0.090712272387691	0.112741934929822			0.083949702533779	0.112872098167897	0.083896895760294				0.180799752365917	0.157640272030625	0.124142800395552	0.137419506096101	0.136021182290883	0.14256580852137
DAG 18:0;0_22:1;0	Diacylglycerol (18:0_22:1)	0.491694158838973	0.320841143305256	0.424496899514006	0.324420277684092		0.4126750539502	0.328041063412441	0.390777793489306			0.585934958883339	0.29169187084183	0.206743267422941	0.258538039465316		0.27448571830793	0.218190250841126
DAG 18:1;0_22:0;0	Diacylglycerol (18:1_22:0)	0.937372775672685	0.809403160560996	1.22057207156599	0.931437314283059		0.895556771436457	0.885091576161591	1.29638683772126			1.60076931394069	1.23982142340274	1.03140312445985	0.818142717593754	1.45947100098355	1.12533673748902	0.986254834928438
DAG 18:1;0_22:1;0	Diacylglycerol (18:1_22:1)	1.14170024265708																
DAG 20:1;0_20:1;0	Diacylglycerol (20:1/20:1)	0.200545240714004																
DAG 16:0;0_24:4;0	Diacylglycerol (16:0_24:4)							0.102911218940279										
DAG 18:0;0_22:4;0	Diacylglycerol (18:0_22:4)	1.83374023000132		1.65839846692896	1.3057735755951		2.21574503897779	1.46131554174763	1.45509749845082		1.58300752930094	1.36712905027501			1.73311996828486	1.36773154291991		
DAG 18:0;0_22:6;0	Diacylglycerol (18:0_22:6)					1.25492780705212	1.42808286319165		1.65247781293767						1.29588852886705	1.38850570211713		
DAG 18:0;0_24:1;0	Diacylglycerol (18:0_24:1)														0.1040685678543			
DAG 18:1;0_24:0;0	Diacylglycerol (18:1_24:0)														1.29408113959939			
DAG 22:6;0_22:6;0	Diacylglycerol (22:6/22:6)								1.38993377371961									
HexCer 30:2;2	Hexosyl ceramide (d30:2)		0.329501116868458	1.15200138704762	0.842138680107498							0.237154397087964						
HexCer 32:1;2	Hexosyl ceramide (d32:1)	0.48111888813097	0.577321067753913	0.747350760680032	0.707084776721478	0.375338859114584	0.372929205528085	0.413942939250919	0.461411015752039	0.443406912719696	0.642706554387953	0.422519095443946	0.473828410202875	0.273882003774656	0.446911346242434	0.57641948980801	0.423069623563388	0.446658131515593
